# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [DWM] DynamicWeightedMajorityClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.5, n_estimators=5, period=50, theta=0.01)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy'], n_wait=5000, output_file='results_artificial_WaveformDataset_DWM.csv', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[DWM],current_acc_[DWM]
4999,0.792400,0.792400
9999,0.795100,0.797800
14999,0.795733,0.797000
19999,0.794600,0.791200
24999,0.793680,0.790000
29999,0.794500,0.798600
34999,0.795057,0.798400
39999,0.795225,0.796400
44999,0.795733,0.799800
49999,0.795660,0.795000
54999,0.795145,0.790000
59999,0.795683,0.801600
64999,0.795631,0.795000
69999,0.795343,0.791600
74999,0.795400,0.796200
79999,0.795488,0.796800
84999,0.795941,0.803200
89999,0.796367,0.803600
94999,0.796947,0.807400
99999,0.796550,0.789000
